x,y,t,c,intensity
145.6535,2.1962,1,1,32.6031
187.1804,2.8826,1,1,26.0634
237.7390,1.9825,1,1,27.9725
246.7959,2.1836,1,1,28.3845
178.5041,3.9229,1,1,31.7833
67.6990,6.8698,1,1,23.8352
162.0466,6.9567,1,1,45.7165
13.1007,8.6064,1,1,35.0980
420.2199,8.2727,1,1,26.6863
406.2758,10.2728,1,1,20.7898
125.6619,11.2622,1,1,40.7380
204.9048,12.0203,1,1,46.3117
64.5583,13.5438,1,1,28.2870
232.0499,15.6108,1,1,31.1098
84.8482,15.2917,1,1,25.0159
168.8856,17.0574,1,1,35.6204
410.1779,17.3686,1,1,40.6880
62.3104,19.1542,1,1,34.6575
180.6061,19.3276,1,1,30.2225
131.1018,23.0921,1,1,23.7560
198.0637,22.8471,1,1,41.5954
185.2418,23.4212,1,1,37.2547
221.1016,24.2115,1,1,51.4080
264.6453,24.4569,1,1,26.3931
238.0389,26.8154,1,1,34.9562
3.5589,27.9176,1,1,31.5837
193.0890,28.4765,1,1,58.1203
424.6788,29.4320,1,1,29.5667
166.4467,32.5524,1,1,39.9924
230.6817,31.7903,1,1,28.7308
94.1655,34.9947,1,1,36.3186
66.9840,36.0789,1,1,68.2833
87.0321,37.6986,1,1,26.4288
144.4635,39.7777,1,1,38.8513
191.3536,40.2920,1,1,46.5876
63.8079,41.0054,1,1,45.2946
113.5965,41.6837,1,1,53.5644
167.1367,41.3463,1,1,92.9217
249.3467,42.0934,1,1,35.4531
5.9621,44.5660,1,1,23.5629
119.9320,46.0673,1,1,55.2467
40.5550,47.1824,1,1,40.8934
89.9261,47.6952,1,1,58.7271
123.6636,47.9528,1,1,52.3061
211.5801,50.0436,1,1,36.0964
125.2908,50.4362,1,1,61.9505
253.4775,48.5867,1,1,29.9740
235.3193,50.9517,1,1,44.0536
215.1939,53.0514,1,1,51.4145
163.3427,54.4341,1,1,49.6169
82.5859,54.4053,1,1,41.5767
134.7897,54.6370,1,1,57.0148
173.7899,54.3843,1,1,37.6506
117.7317,57.4083,1,1,88.4369
103.2500,58.0119,1,1,81.8839
128.6218,58.7226,1,1,53.4303
148.6275,57.3939,1,1,50.1550
98.5654,58.5400,1,1,56.7474
36.5133,59.6604,1,1,24.0509
95.1006,60.2249,1,1,59.0316
157.3771,59.6034,1,1,54.1612
186.3410,61.4444,1,1,36.4852
116.0577,60.3946,1,1,66.0418
146.4066,63.6047,1,1,45.7197
194.7902,66.1005,1,1,25.2096
210.9514,64.3541,1,1,73.9192
83.2594,65.2620,1,1,45.1396
225.8537,67.2559,1,1,34.8113
13.2438,68.1097,1,1,30.6254
95.5765,69.4470,1,1,61.2123
116.4124,68.3998,1,1,75.6611
122.3512,66.7987,1,1,45.9506
123.1246,68.4616,1,1,44.5758
88.5762,70.2680,1,1,47.9719
148.3240,70.0389,1,1,122.8010
161.7633,70.5097,1,1,51.2072
188.6897,70.1386,1,1,44.5249
